ebs_account,as_on_date,recent_1day_avg_cores,last_7days_avg_cores,last_30days_avg_cores,last_90days_avg_cores,last_365days_avg_cores,recent_1day_clusters,accnt_risk_opp_flag,accnt_risk_opp_level,accnt_risk_opp_desc,version_currency_flag,version_currency_level,version_currency_desc,aws_clusters,azure_clusters,gcp_clusters,cs_aws_cores,cs_azure_cores,cs_gcp_cores,has_amazon_eks_risk,has_microsoft_aks_risk,has_google_gke_risk,cs_takeover_desc,unattached_clusters,attached_clusters,unattached_cluster_flag,cost_optimization_clusters,cost_optimization_flag,connected_status,is_pp_opr,is_odf_opr,is_quay_opr,is_acm_opr,is_acs_opr,rhacs_versions,rhacs_total_clusters,rhacs_total_cores,rhacs_first_active,rhacs_last_active,rhacs_total_failures,rhacs_failure_descriptions
818035,2026-03-10,352988.933644924,345765.9955185116,346010.2733918644,354535.81434824417,313379.6253567479,214.0,Steady,4.0,The deployed OpenShift 4 cores observation appears steady for the last 30 days for all EBS Accounts.,Steady,4.0,All EBS accounts appear current with respect to product versions detected with telemetry.,0.0,209.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,"Risk of Microsoft AKS, and Google GKE takeover identified on one or more EBS accounts. Confirm OpenShift usage as an application platform, temperature check on manage cloud offering, and consider moving customer(s) to ARO/OSD.",3.0,211.0,Yes,1.0,Yes,Partially Connected,1.0,0.0,0.0,1.0,1.0,4.10.0 | 4.8.7 | 4.9.1 | 4.6.8 | 4.8.4 | 4.9.3 | 4.8.8 | 4.7.7 | 4.7.6 | 4.7.5 | 4.9.0 | 4.8.5 | 4.6.7 | 4.6.10 | 4.6.9 | 4.6.2 | 4.6.3 | 4.5.5 | 4.5.6 | 4.5.4 | 4.6.5 | 4.7.0 | 4.6.4 | 4.7.2 | 4.7.1 | 4.3.4 | 4.6.1 | 4.5.2 | 4.5.3 | 4.4.5 | 4.4.3 | 4.4.7 | 4.4.4 | 4.5.1 | 4.6.0 | 4.3.8 | 4.4.2 | 4.4.1 | 4.5.0 | 4.4.0 | 3.74.0 | 4.3.6 | 4.2.1 | 4.0.0 | 4.3.7 | 4.2.0 | 4.3.5 | 4.2.2 | 4.3.3 | 4.3.1 | 4.2.4 | 4.2.3 | 4.3.2 | 4.3.0 | 4.0.4 | 4.0.1 | 4.0.3 | 4.0.2 | 3.73.5 | 3.73.4 | 3.74.3 | 3.73.2 | 3.73.3 | 3.73.1 | 3.73.0 | 3.72.0 | 3.72.1 | 3.71.0 | 3.70.1 | 3.70.0,591.0,1075272.2351313822,2022-08-01,2026-03-10,104.0,"2026-03-09: ComponentUnhealthy | 2026-03-09: InstallComponentFailed | 2026-01-01: ComponentUnhealthy, 2026-01-06: ComponentUnhealthy | 2025-12-18: ComponentUnhealthy | 2025-10-10: ComponentUnhealthy | 2025-10-12: ComponentUnhealthy | 2025-10-07: ComponentUnhealthy, ComponentUnhealthy, 2025-10-08: ComponentUnhealthy, ComponentUnhealthy, ComponentUnhealthy, ComponentUnhealthy, ComponentUnhealthy, 2025-10-10: ComponentUnhealthy, ComponentUnhealthy, ComponentUnhealthy, 2025-10-11: ComponentUnhealthy, ComponentUnhealthy, 2025-10-12: ComponentUnhealthy, ComponentUnhealthy | 2025-10-12: ComponentUnhealthy | 2025-09-25: ComponentUnhealthy, 2025-09-26: ComponentUnhealthy | 2025-09-12: TooManyOperatorGroups, 2025-09-13: TooManyOperatorGroups, 2025-09-14: TooManyOperatorGroups, 2025-09-15: TooManyOperatorGroups, 2025-09-16: TooManyOperatorGroups, 2025-09-17: TooManyOperatorGroups, 2025-09-18: TooManyOperatorGroups | 2025-01-14: ComponentUnhealthy | 2024-06-13: InterOperatorGroupOwnerConflict, 2024-06-14: InterOperatorGroupOwnerConflict, 2024-06-15: InterOperatorGroupOwnerConflict, 2024-06-16: InterOperatorGroupOwnerConflict, 2024-06-17: InterOperatorGroupOwnerConflict, 2024-06-18: InterOperatorGroupOwnerConflict, 2024-06-19: InterOperatorGroupOwnerConflict | 2024-04-27: InterOperatorGroupOwnerConflict, 2024-04-28: InterOperatorGroupOwnerConflict, 2024-04-29: InterOperatorGroupOwnerConflict, 2024-04-30: InterOperatorGroupOwnerConflict, 2024-05-01: InterOperatorGroupOwnerConflict, 2024-05-02: InterOperatorGroupOwnerConflict, 2024-05-03: InterOperatorGroupOwnerConflict | 2024-01-23: InstallCheckFailed | 2024-01-18: RequirementsNotMet | 2024-01-10: InstallCheckFailed, 2024-01-11: ComponentUnhealthy, 2024-01-14: InstallCheckFailed, InstallCheckFailed, InstallCheckFailed, 2024-01-15: InstallCheckFailed, ComponentUnhealthy, InstallCheckFailed, 2024-01-16: ComponentUnhealthy | 2023-12-06: InstallCheckFailed, ComponentUnhealthy, 2023-12-07: InstallCheckFailed, 2023-12-08: ComponentUnhealthy, 2023-12-09: InstallCheckFailed, 2023-12-11: ComponentUnhealthy | 2023-09-17: InstallCheckFailed, 2023-09-20: ComponentUnhealthy | 2023-06-30: InterOperatorGroupOwnerConflict, 2023-07-01: InterOperatorGroupOwnerConflict, 2023-07-02: InterOperatorGroupOwnerConflict, 2023-07-03: InterOperatorGroupOwnerConflict, 2023-07-04: InterOperatorGroupOwnerConflict, 2023-07-05: InterOperatorGroupOwnerConflict, 2023-07-06: InterOperatorGroupOwnerConflict | 2023-05-24: InstallCheckFailed, InterOperatorGroupOwnerConflict, 2023-05-25: InstallCheckFailed, InterOperatorGroupOwnerConflict, 2023-05-26: InstallCheckFailed, InterOperatorGroupOwnerConflict, 2023-05-27: InterOperatorGroupOwnerConflict, 2023-05-28: InterOperatorGroupOwnerConflict, 2023-05-29: InterOperatorGroupOwnerConflict, 2023-05-30: InterOperatorGroupOwnerConflict | 2023-05-15: ComponentUnhealthy, InstallCheckFailed | 2023-05-03: InstallComponentFailedNoRetry, 2023-05-04: InstallComponentFailedNoRetry, 2023-05-05: InstallComponentFailedNoRetry, 2023-05-06: InstallComponentFailedNoRetry, 2023-05-07: InstallComponentFailedNoRetry, 2023-05-08: InstallComponentFailedNoRetry | 2023-01-25: ComponentUnhealthy, 2023-01-26: InstallCheckFailed, 2023-01-28: ComponentUnhealthy, InstallCheckFailed, 2023-01-29: InstallCheckFailed, 2023-01-30: InstallCheckFailed | 2022-12-14: ComponentUnhealthy, InstallCheckFailed | 2022-09-21: InstallCheckFailed, 2022-09-22: InstallCheckFailed, 2022-09-23: InstallCheckFailed, 2022-09-24: InstallCheckFailed, 2022-09-25: InstallCheckFailed, 2022-09-26: InstallCheckFailed"
314296,2026-03-10,140270.66666666666,141514.11285687456,143854.3834774766,136626.1112060333,79907.01442778506,94.0,Steady,4.0,The deployed OpenShift 4 cores observation appears steady for the last 30 days for all EBS Accounts.,Steady,4.0,All EBS accounts appear current with respect to product versions detected with telemetry.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"No risk factors for an Amazon EKS, Microsoft AKS, or Google GKS takeover detected.",7.0,87.0,Yes,0.0,No,Partially Connected,1.0,1.0,0.0,1.0,1.0,4.7.0 | 4.7.3 | 4.7.1 | 4.6.1,5.0,9984.0,2025-01-08,2026-03-10,0.0,
6079788,2026-03-10,49297.70440821256,47050.48271320563,44633.39864054106,41008.25355733826,27079.513545896614,178.0,Steady,4.0,The deployed OpenShift 4 cores observation appears steady for the last 30 days for all EBS Accounts.,Steady,4.0,All EBS accounts appear current with respect to product versions detected with telemetry.,0.0,3.0,0.0,0.0,234.69444444444446,0.0,0.0,0.0,0.0,"No risk factors for an Amazon EKS, Microsoft AKS, or Google GKS takeover detected.",24.0,154.0,Yes,0.0,No,Connected,1.0,1.0,1.0,1.0,1.0,3.72.4 | 4.10.0 | 4.9.3 | 4.9.2 | 4.9.1 | 4.9.0 | 4.8.4 | 4.8.3 | 4.8.2 | 4.8.1 | 4.8.0 | 4.7.4 | 4.7.3 | 4.7.2 | 4.7.1 | 4.7.0 | 4.6.3 | 4.6.2 | 4.6.1 | 3.72.3 | 3.72.2,21.0,15955.5,2022-12-01,2026-03-10,2.0,"2023-01-06: InstallCheckFailed, InstallComponentFailed"
551325,2026-03-10,40859.342741935485,40150.15632221524,36545.94136936256,31570.050556937844,28519.042978451926,89.0,Steady,4.0,The deployed OpenShift 4 cores observation appears steady for the last 30 days for all EBS Accounts.,Steady,4.0,All EBS accounts appear current with respect to product versions detected with telemetry.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"No risk factors for an Amazon EKS, Microsoft AKS, or Google GKS takeover detected.",69.0,20.0,Yes,0.0,No,Partially Connected,1.0,1.0,0.0,1.0,1.0,4.8.4 | 4.6.2 | 4.9.2 | 4.10.0 | 4.8.0 | 4.8.1 | 4.5.3 | 4.9.0 | 4.7.4 | 4.1.3 | 4.9.1 | 4.9.3 | 4.8.2 | 4.8.3 | 4.7.3 | 4.7.2 | 4.6.1 | 4.7.1 | 4.7.0 | 4.6.3 | 4.5.2 | 4.6.0 | 4.5.5 | 4.5.4 | 4.1.0 | 4.5.1 | 4.1.6 | 4.5.0 | 4.4.4 | 4.4.3 | 4.4.2 | 4.4.1 | 4.4.0 | 4.3.5 | 4.3.4 | 4.1.5 | 4.3.3 | 4.3.2 | 4.3.1 | 4.3.0 | 4.2.2 | 4.1.4 | 4.2.1 | 4.2.0 | 4.1.2 | 4.1.1 | 4.0.2 | 4.0.1 | 3.74.3 | 3.74.2 | 3.74.1 | 3.74.0 | 3.73.2 | 3.73.1 | 3.73.0 | 3.72.1,101.0,84035.93831930136,2022-10-27,2026-03-10,12.0,"2025-03-15: InstallComponentFailed | 2024-12-03: ComponentUnhealthy | 2024-01-17: InstallCheckFailed | 2023-04-06: InstallCheckFailed, ComponentUnhealthy, 2023-04-07: ComponentUnhealthy, 2023-04-08: ComponentUnhealthy | 2023-03-13: InstallCheckFailed, 2023-03-16: InstallCheckFailed, 2023-03-18: ComponentUnhealthy, 2023-03-19: ComponentUnhealthy, InstallCheckFailed"
788243,2026-03-10,40659.583333333336,40391.67361111111,40303.47820767195,40333.270401434995,38417.30628148425,71.0,Steady,4.0,The deployed OpenShift 4 cores observation appears steady for the last 30 days for all EBS Accounts.,Steady,4.0,All EBS accounts appear current with respect to product versions detected with telemetry.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"Risk of Google GKE takeover identified on one or more EBS accounts. Confirm OpenShift usage as an application platform, temperate check on managed cloud offering, and consider moving customer(s) to OSD.",15.0,56.0,Yes,1.0,Yes,Partially Connected,1.0,1.0,1.0,1.0,1.0,4.7.0 | 4.9.2 | 4.8.0 | 4.10.0 | 4.9.3 | 4.9.1 | 4.9.0 | 4.8.4 | 4.8.3 | 4.8.2 | 4.8.1 | 4.7.4 | 4.7.3 | 4.7.2 | 4.7.1 | 4.6.3 | 4.6.2 | 4.6.1 | 4.6.0 | 4.5.5 | 4.5.4 | 4.5.3 | 4.5.2,284.0,526260.5363095239,2024-09-23,2026-03-10,9.0,"2026-03-09: ComponentUnhealthy | 2025-10-27: ComponentUnhealthy, 2025-10-28: ComponentUnhealthy, 2025-10-29: ComponentUnhealthy | 2025-09-11: ComponentUnhealthy, 2025-09-12: ComponentUnhealthy, 2025-09-14: ComponentUnhealthy | 2025-09-06: ComponentUnhealthy | 2025-08-14: ComponentUnhealthy"
6133021,2026-03-10,34224.0,34221.944444444445,33607.00369641868,29780.135755949086,25656.935434800125,7.0,Steady,4.0,The deployed OpenShift 4 cores observation appears steady for the last 30 days for all EBS Accounts.,Steady,4.0,All EBS accounts appear current with respect to product versions detected with telemetry.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"No risk factors for an Amazon EKS, Microsoft AKS, or Google GKS takeover detected.",0.0,7.0,No,0.0,No,Connected,1.0,0.0,0.0,1.0,1.0,4.9.2 | 3.74.1,2.0,1792.0,2023-04-10,2026-03-10,0.0,
729650,2026-03-10,32408.0,32215.9410430839,31821.36287868065,31113.23531706414,15333.0120803043,66.0,Steady,4.0,The deployed OpenShift 4 cores observation appears steady for the last 30 days for all EBS Accounts.,Steady,4.0,All EBS accounts appear current with respect to product versions detected with telemetry.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"No risk factors for an Amazon EKS, Microsoft AKS, or Google GKS takeover detected.",61.0,5.0,Yes,0.0,No,Partially Connected,1.0,0.0,1.0,1.0,1.0,4.8.5 | 4.7.5 | 4.8.8 | 4.7.4 | 4.8.7 | 4.7.7 | 4.8.6 | 4.8.4 | 4.7.6 | 4.6.3 | 4.7.3 | 4.7.2 | 4.7.1 | 4.7.0 | 4.6.2 | 4.6.0 | 4.6.1 | 4.5.5 | 4.5.4 | 4.5.3 | 4.5.2 | 4.5.1 | 4.5.0 | 4.4.4 | 4.4.3 | 4.4.2 | 4.4.1 | 4.4.0 | 4.3.5 | 4.3.4 | 4.0.4 | 4.0.3 | 4.0.2 | 4.0.1 | 4.0.0 | 3.74.3,264.0,137567.62500000003,2023-05-15,2026-03-10,18.0,"2025-12-24: InstallCheckFailed, 2025-12-25: InstallCheckFailed, 2025-12-26: InstallCheckFailed, 2025-12-27: InstallCheckFailed, 2025-12-28: InstallCheckFailed, 2025-12-29: InstallCheckFailed, 2025-12-30: InstallCheckFailed | 2025-03-28: ComponentUnhealthy | 2025-03-03: ComponentUnhealthy | 2025-01-30: ComponentUnhealthy, 2025-01-31: ComponentUnhealthy, 2025-02-02: ComponentUnhealthy | 2024-11-15: ComponentUnhealthy | 2024-09-14: ComponentUnhealthy | 2024-07-24: ComponentUnhealthy | 2024-07-01: ComponentUnhealthy | 2024-03-26: ComponentUnhealthy, 2024-03-27: ComponentUnhealthy"
6088952,2026-03-10,30864.215217391305,30754.674663681304,29618.844108515124,27829.667984909953,21438.087833079648,175.0,Steady,4.0,The deployed OpenShift 4 cores observation appears steady for the last 30 days for all EBS Accounts.,Steady,4.0,All EBS accounts appear current with respect to product versions detected with telemetry.,0.0,2.0,123.0,0.0,0.0,0.0,0.0,1.0,1.0,"Risk of Microsoft AKS, and Google GKE takeover identified on one or more EBS accounts. Confirm OpenShift usage as an application platform, temperature check on manage cloud offering, and consider moving customer(s) to ARO/OSD.",167.0,8.0,Yes,120.0,Yes,Partially Connected,1.0,1.0,1.0,1.0,1.0,4.7.1 | 4.9.3 | 4.9.0 | 4.8.4 | 4.9.2 | 4.7.9 | 4.8.2 | 4.7.3 | 4.7.2 | 4.8.3 | 4.8.1 | 4.8.0 | 4.6.3 | 4.4.3 | 4.4.8 | 4.7.0 | 4.4.7 | 4.2.5 | 4.6.2 | 4.6.1 | 4.6.0 | 4.4.6 | 4.4.5 | 4.2.2 | 4.1.6 | 4.4.4 | 4.3.8 | 4.2.3 | 4.3.4 | 4.4.0 | 4.3.5 | 4.2.4 | 4.2.0 | 4.1.5 | 4.1.4 | 4.2.1 | 3.72.2 | 4.1.3 | 4.1.2 | 3.74.1 | 3.72.4 | 4.1.1 | 3.74.5 | 4.0.3 | 3.74.4 | 3.74.3 | 3.74.2 | 3.73.0 | 3.72.3 | 3.72.1 | 3.71.0 | 3.72.0 | 3.70.1,586.0,185664.87221302046,2022-08-01,2026-03-10,62.0,"2026-03-08: ComponentUnhealthy | 2025-05-09: TooManyOperatorGroups, TooManyOperatorGroups, 2025-05-10: TooManyOperatorGroups, TooManyOperatorGroups, 2025-05-11: TooManyOperatorGroups, TooManyOperatorGroups, 2025-05-12: TooManyOperatorGroups, TooManyOperatorGroups, 2025-05-13: TooManyOperatorGroups, TooManyOperatorGroups, 2025-05-14: TooManyOperatorGroups, TooManyOperatorGroups, 2025-05-15: TooManyOperatorGroups, TooManyOperatorGroups | 2025-03-03: InstallCheckFailed | 2024-11-10: ComponentUnhealthy | 2024-03-08: InstallComponentFailed, 2024-03-09: InstallComponentFailed, 2024-03-10: InstallComponentFailed, 2024-03-11: InstallComponentFailed, 2024-03-12: InstallComponentFailed, 2024-03-13: ComponentUnhealthy, ComponentUnhealthy, InstallComponentFailed | 2022-11-30: InterOperatorGroupOwnerConflict, 2022-12-01: InterOperatorGroupOwnerConflict, 2022-12-02: InterOperatorGroupOwnerConflict, 2022-12-03: InterOperatorGroupOwnerConflict, 2022-12-04: InterOperatorGroupOwnerConflict, 2022-12-05: InterOperatorGroupOwnerConflict, 2022-12-06: InterOperatorGroupOwnerConflict | 2022-12-06: TooManyOperatorGroups, TooManyOperatorGroups, TooManyOperatorGroups, TooManyOperatorGroups | 2022-12-06: TooManyOperatorGroups, TooManyOperatorGroups | 2022-12-06: TooManyOperatorGroups, TooManyOperatorGroups, TooManyOperatorGroups, TooManyOperatorGroups, TooManyOperatorGroups, TooManyOperatorGroups, TooManyOperatorGroups, TooManyOperatorGroups, TooManyOperatorGroups, TooManyOperatorGroups, TooManyOperatorGroups, TooManyOperatorGroups, TooManyOperatorGroups, TooManyOperatorGroups, TooManyOperatorGroups, TooManyOperatorGroups, TooManyOperatorGroups, TooManyOperatorGroups, TooManyOperatorGroups, TooManyOperatorGroups, TooManyOperatorGroups, TooManyOperatorGroups, TooManyOperatorGroups, TooManyOperatorGroups"
1183684,2026-03-10,30636.354166666668,30636.341765873018,30349.595201210825,30049.303635194698,30288.849481284276,70.0,Steady,4.0,The deployed OpenShift 4 cores observation appears steady for the last 30 days for all EBS Accounts.,Steady,4.0,All EBS accounts appear current with respect to product versions detected with telemetry.,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Risk of Amazon EKS takeover identified on one or more EBS accounts. Confirm OpenShift usage as an application platform, temperate check on manage cloud offering, and consider moving customer(s) to ROSA.",11.0,59.0,Yes,3.0,Yes,Partially Connected,1.0,1.0,1.0,1.0,1.0,4.8.0 | 4.9.2 | 4.8.4 | 4.8.1 | 4.8.2 | 4.8.3 | 4.7.4 | 4.7.3 | 4.7.1 | 4.7.2 | 4.2.0 | 4.7.0 | 4.6.3 | 4.6.2 | 4.3.4 | 4.6.1 | 4.6.0 | 4.5.5 | 4.5.4 | 4.5.1 | 4.5.3 | 4.5.2 | 4.5.0 | 4.4.4 | 4.4.3 | 4.4.2 | 4.4.1 | 4.4.0 | 3.74.8 | 4.3.5 | 3.74.9 | 4.3.2 | 3.74.7 | 4.3.3 | 4.3.1 | 4.3.0 | 4.2.1 | 3.74.6 | 4.2.2 | 3.72.1 | 3.74.5 | 4.1.3 | 3.74.3 | 4.1.2 | 4.0.0 | 4.1.0 | 4.1.1 | 3.74.4 | 4.0.2 | 4.0.1 | 3.74.2 | 3.74.0 | 3.74.1 | 3.73.0 | 3.73.2 | 3.73.1 | 3.69.2 | 3.72.0 | 3.71.0,1253.0,1374434.836397273,2022-08-01,2026-03-10,82.0,"2026-03-07: ComponentUnhealthy | 2024-12-16: ComponentUnhealthy | 2024-11-27: InstallComponentFailed, RequirementsNotMet, 2024-11-28: InstallComponentFailed, 2024-11-29: InstallComponentFailed, ComponentUnhealthy, 2024-11-30: InstallComponentFailed, 2024-12-01: ComponentUnhealthy, InstallComponentFailed, 2024-12-02: InstallComponentFailed, 2024-12-03: InstallComponentFailed | 2024-11-16: RequirementsNotMet, 2024-11-19: ComponentUnhealthy | 2024-10-13: ComponentUnhealthy | 2024-09-25: ComponentUnhealthy, 2024-09-26: ComponentUnhealthy | 2024-07-17: InstallCheckFailed, ComponentUnhealthy, 2024-07-18: ComponentUnhealthy, InstallCheckFailed, 2024-07-19: ComponentUnhealthy, 2024-07-20: InstallCheckFailed, ComponentUnhealthy, 2024-07-21: InstallCheckFailed, ComponentUnhealthy, 2024-07-22: InstallCheckFailed, 2024-07-23: ComponentUnhealthy | 2024-07-01: ComponentUnhealthy, InstallCheckFailed, 2024-07-02: InstallCheckFailed, ComponentUnhealthy, 2024-07-03: ComponentUnhealthy, InstallCheckFailed, 2024-07-04: ComponentUnhealthy, 2024-07-05: ComponentUnhealthy, 2024-07-06: InstallCheckFailed, 2024-07-07: InstallCheckFailed, ComponentUnhealthy | 2024-06-08: ComponentUnhealthy, 2024-06-09: ComponentUnhealthy | 2024-01-19: ComponentUnhealthy | 2023-11-14: ComponentUnhealthy | 2023-07-07: ComponentUnhealthy, 2023-07-08: InstallCheckFailed, ComponentUnhealthy, 2023-07-09: ComponentUnhealthy, InstallCheckFailed, 2023-07-10: ComponentUnhealthy, 2023-07-11: InstallCheckFailed, ComponentUnhealthy, 2023-07-12: InstallCheckFailed, ComponentUnhealthy | 2023-06-22: ComponentUnhealthy | 2023-04-06: ComponentUnhealthy, InstallCheckFailed, InstallCheckFailed, 2023-04-07: ComponentUnhealthy, InstallCheckFailed, ComponentUnhealthy, InstallCheckFailed, 2023-04-08: InstallCheckFailed, ComponentUnhealthy, ComponentUnhealthy, InstallCheckFailed, 2023-04-09: ComponentUnhealthy, InstallCheckFailed, 2023-04-10: InstallCheckFailed, ComponentUnhealthy, ComponentUnhealthy, InstallCheckFailed, 2023-04-11: ComponentUnhealthy, InstallCheckFailed, ComponentUnhealthy, 2023-04-12: InstallCheckFailed, ComponentUnhealthy, ComponentUnhealthy, InstallCheckFailed | 2023-02-26: ComponentUnhealthy, InstallCheckFailed, 2023-02-27: ComponentUnhealthy, InstallCheckFailed"
11520869,2026-03-10,29752.0,29752.0,29749.244444444445,28153.397515087636,24595.281012514,49.0,Steady,4.0,The deployed OpenShift 4 cores observation appears steady for the last 30 days for all EBS Accounts.,Steady,4.0,All EBS accounts appear current with respect to product versions detected with telemetry.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"No risk factors for an Amazon EKS, Microsoft AKS, or Google GKS takeover detected.",12.0,37.0,Yes,0.0,No,Partially Connected,1.0,0.0,1.0,1.0,1.0,3.74.1 | 3.74.4 | 4.3.5 | 4.7.4 | 4.7.3 | 3.74.5,6.0,12620.0,2023-06-01,2026-03-10,0.0,
