Key,Summary,Assignee,Product Manager,Target Version
ROX-33547,Improving Central Start up times,Unassigned,Boaz Michaely,5.0.0
ROX-33538,Add execution timestamps to Compliance v2 reporting for every check,Alexander Rukletsov,,5.0.0
ROX-33321,Support for SHA-512 and PQC Signatures in ACS Admission Controller,Alexander Rukletsov,Sabina Aledort,5.0.0
ROX-33135,Unified Operator Deployment & Legacy Migration,Marcin Owsiany,Sabina Aledort,5.0.0
ROX-32977,(Discovery) RHACS OpenShift Console Plugin Enhancements,Mansur Syed,Mansur Syed,5.0.0
ROX-32742,RHACS: Base Image Update Detection & Notifications,Mansur Syed,,5.0.0
ROX-32740,[Discovery] Network Graph Migration to Network Observability,Robby Cochran,Maria Simon Marcos,5.0.0
ROX-32727,RHACS: Base Image Health & Monitoring Enhancements,Unassigned,,5.0.0
ROX-32705,[ENG] Split periodic jobs off from Central,Unassigned,,5.0.0
ROX-32695,Scanning SPDX SBOM file for reporting vulnerabilities [GA],Brad Lugo,Shubha Badve,5.0.0
ROX-32694,Scanning SPDX SBOM file for reporting vulnerabilities [TP],Brad Lugo,Shubha Badve,5.0.0
ROX-32657,Refactor the Node Data Model for Accuracy and Performance,Unassigned,,5.0.0
ROX-32656,[ENG] Eliminate GraphQL,Unassigned,,5.0.0
ROX-32655,[ENG] Search Framework Tech Debt and Improvements,Unassigned,,5.0.0
ROX-32654,[ENG] [Discovery]: Investigate Postgres Performance Optimization Strategies,Unassigned,,5.0.0
ROX-32637,Deprecation of Configuration Management Dashboard ,Anjali Telang,,5.0.0
ROX-32634,ACS can schedule OCP Virt profile,Unassigned,Maria Simon Marcos,5.0.0
ROX-32575,High-level resource requirements for ACS deployment,Unassigned,,5.0.0
ROX-32574,Automatic performance regression monitoring of scale test data,David House,,5.0.0
ROX-32505,Remove Openshift OAuth provider for OCP 4.20 when external OAuth enabled,Anjali Telang,,5.0.0
ROX-32461,Central Backup Support for OpenShift Data Foundation S3 Storage,Alexander Rukletsov,Sabina Aledort,5.0.0
ROX-32458,Central Database PVC Monitoring and Alerting,Alexander Rukletsov,Sabina Aledort,5.0.0
ROX-32456,Enhanced Permission Set Write Permission Descriptions,Alexander Rukletsov,Sabina Aledort,5.0.0
ROX-32419,RHACS Vulnerability Management in OpenShift Console Plugin (GA),Alexander Rukletsov,Sabina Aledort,5.0.0
ROX-32361,Vulnerability scanning of active base images,Unassigned,,5.0.0
ROX-32320,[ENG] Design Scanning Workflow Improvements,Vu Le,Shubha Badve,5.0.0
ROX-32203,Checksum sha256 for scanner-vuln-updates.zip,Shubha Badve,Shubha Badve,5.0.0
ROX-32201,[GA] ACS policy placement on secured clusters,Van Wilson,Boaz Michaely,5.0.0
ROX-32198,Policy violations report,Unassigned,,5.0.0
ROX-32148,Vulnerability Management in ACS for Virtual Machines running on OpenShift Virtualization platform (GA),Kyle Lape,Shubha Badve,5.0.0
ROX-32143,[TechPreview] AI Workload Discovery and AI BOM Ingestion in RHACS,Anjali Telang,Anjali Telang,5.0.0
ROX-32141,[GA] Stateless Scanning in RHACS,Shubha Badve,Shubha Badve,Future
ROX-32140,[TechPreview] High Availability Scanning in RHACS,Shubha Badve,Boaz Michaely,5.0.0
ROX-32139,-----5.0.0 Planning (October - 2026)-----,Doron Caspin,Doron Caspin,5.0.0
ROX-32135,"Expanded Vulnerability Scanning for PHP, Rust ",David Caravello,Shubha Badve,5.0.0
ROX-32133,"Vulnerability Reporting: ""Namespaces WITHOUT names matching"" ",Mansur Syed,Mansur Syed,5.0.0
ROX-32129,ACS MCP TP Extended functionality,Alexander Rukletsov,Maria Simon Marcos,5.0.0
ROX-32074,File Activity Monitoring GA,Robby Cochran,Maria Simon Marcos,5.0.0
ROX-31827,Ability to Skip TLS for S3 Integration,Unassigned,,5.0.0
ROX-31572,Allow Central to scan images directly using its OpenShift configured registry credentials,David Caravello,Shubha Badve,5.0.0
ROX-31457,OCP 5 Platform-Aligned Operator,Boaz Michaely,Boaz Michaely,5.0.0
ROX-31261,RHACS can (1) run on and (2) scan RHCOS 10,Vu Le,Boaz Michaely,5.0.0
ROX-31042,Export prometheus metrics from ACS to allow customer track product data and build custom dashboard in Openshift Console,Sabina Aledort,Sabina Aledort,5.0.0
ROX-30749,Violations - Shared Configuration filters and View Based Exports,Van Wilson,Mansur Syed,5.0.0
